sex,x,L,M,S
M,472,0.0377,10.4187,0.11024
M,473,0.0375,10.4257,0.11025
M,474,0.0373,10.4326,0.11026
M,475,0.037,10.4396,0.11027
M,476,0.0368,10.4465,0.11029
M,477,0.0366,10.4535,0.1103
M,478,0.0363,10.4604,0.11031
M,479,0.0361,10.4674,0.11032
M,480,0.0359,10.4743,0.11033
M,481,0.0357,10.4813,0.11034
M,482,0.0354,10.4882,0.11035
M,483,0.0352,10.4951,0.11037
M,484,0.035,10.502,0.11038
M,485,0.0347,10.509,0.11039
M,486,0.0345,10.5159,0.1104
M,487,0.0343,10.5228,0.11041
M,488,0.0341,10.5297,0.11042
M,489,0.0338,10.5366,0.11044
M,490,0.0336,10.5435,0.11045
M,491,0.0334,10.5505,0.11046
M,492,0.0332,10.5574,0.11047
M,493,0.0329,10.5643,0.11048
M,494,0.0327,10.5712,0.1105
M,495,0.0325,10.578,0.11051
M,496,0.0323,10.5849,0.11052
M,497,0.032,10.5918,0.11053
M,498,0.0318,10.5987,0.11054
M,499,0.0316,10.6056,0.11056
M,500,0.0314,10.6125,0.11057
M,501,0.0312,10.6193,0.11058
M,502,0.0309,10.6262,0.11059
M,503,0.0307,10.6331,0.1106
M,504,0.0305,10.6399,0.11062
M,505,0.0303,10.6468,0.11063
M,506,0.03,10.6537,0.11064
M,507,0.0298,10.6605,0.11065
M,508,0.0296,10.6674,0.11067
M,509,0.0294,10.6742,0.11068
M,510,0.0292,10.6811,0.11069
M,511,0.0289,10.6879,0.1107
M,512,0.0287,10.6948,0.11072
M,513,0.0285,10.7016,0.11073
M,514,0.0283,10.7084,0.11074
M,515,0.0281,10.7153,0.11075
M,516,0.0279,10.7221,0.11077
M,517,0.0276,10.7289,0.11078
M,518,0.0274,10.7357,0.11079
M,519,0.0272,10.7426,0.11081
M,520,0.027,10.7494,0.11082
M,521,0.0268,10.7562,0.11083
M,522,0.0266,10.763,0.11084
M,523,0.0263,10.7698,0.11086
M,524,0.0261,10.7766,0.11087
M,525,0.0259,10.7835,0.11088
M,526,0.0257,10.7903,0.1109
M,527,0.0255,10.7971,0.11091
M,528,0.0253,10.8039,0.11092
M,529,0.025,10.8107,0.11094
M,530,0.0248,10.8174,0.11095
M,531,0.0246,10.8242,0.11096
M,532,0.0244,10.831,0.11098
M,533,0.0242,10.8378,0.11099
M,534,0.024,10.8446,0.111
M,535,0.0238,10.8514,0.11102
M,536,0.0236,10.8582,0.11103
M,537,0.0233,10.8649,0.11104
M,538,0.0231,10.8717,0.11106
M,539,0.0229,10.8785,0.11107
M,540,0.0227,10.8852,0.11108
M,541,0.0225,10.892,0.1111
M,542,0.0223,10.8988,0.11111
M,543,0.0221,10.9055,0.11113
M,544,0.0219,10.9123,0.11114
M,545,0.0217,10.9191,0.11115
M,546,0.0214,10.9258,0.11117
M,547,0.0212,10.9326,0.11118
M,548,0.021,10.9393,0.1112
M,549,0.0208,10.9461,0.11121
M,550,0.0206,10.9528,0.11122
M,551,0.0204,10.9596,0.11124
M,552,0.0202,10.9663,0.11125
M,553,0.02,10.973,0.11127
M,554,0.0198,10.9798,0.11128
M,555,0.0196,10.9865,0.11129
M,556,0.0194,10.9932,0.11131
M,557,0.0192,11.0,0.11132
M,558,0.0189,11.0067,0.11134
M,559,0.0187,11.0134,0.11135
M,560,0.0185,11.0202,0.11137
M,561,0.0183,11.0269,0.11138
M,562,0.0181,11.0336,0.11139
M,563,0.0179,11.0403,0.11141
M,564,0.0177,11.047,0.11142
M,565,0.0175,11.0537,0.11144
M,566,0.0173,11.0605,0.11145
M,567,0.0171,11.0672,0.11147
M,568,0.0169,11.0739,0.11148
M,569,0.0167,11.0806,0.1115
M,570,0.0165,11.0873,0.11151
M,571,0.0163,11.094,0.11153
M,572,0.0161,11.1007,0.11154
M,573,0.0159,11.1074,0.11156
M,574,0.0157,11.1141,0.11157
M,575,0.0155,11.1208,0.11159
M,576,0.0153,11.1275,0.1116
M,577,0.0151,11.1342,0.11162
M,578,0.0149,11.1409,0.11163
M,579,0.0147,11.1476,0.11165
M,580,0.0144,11.1543,0.11166
M,581,0.0142,11.161,0.11168
M,582,0.014,11.1676,0.11169
M,583,0.0138,11.1743,0.11171
M,584,0.0136,11.181,0.11172
M,585,0.0134,11.1877,0.11174
M,586,0.0132,11.1944,0.11175
M,587,0.013,11.2011,0.11177
M,588,0.0128,11.2077,0.11178
M,589,0.0126,11.2144,0.1118
M,590,0.0124,11.2211,0.11182
M,591,0.0122,11.2278,0.11183
M,592,0.012,11.2345,0.11185
M,593,0.0118,11.2411,0.11186
M,594,0.0116,11.2478,0.11188
M,595,0.0114,11.2545,0.11189
M,596,0.0112,11.2612,0.11191
M,597,0.0111,11.2678,0.11192
M,598,0.0109,11.2745,0.11194
M,599,0.0107,11.2812,0.11196
M,600,0.0105,11.2878,0.11197
M,601,0.0103,11.2945,0.11199
M,602,0.0101,11.3012,0.112
M,603,0.0099,11.3078,0.11202
M,604,0.0097,11.3145,0.11204
M,605,0.0095,11.3212,0.11205
M,606,0.0093,11.3278,0.11207
M,607,0.0091,11.3345,0.11208
M,608,0.0089,11.3412,0.1121
M,609,0.0087,11.3478,0.11212
M,610,0.0085,11.3545,0.11213
M,611,0.0083,11.3612,0.11215
M,612,0.0081,11.3678,0.11216
M,613,0.0079,11.3745,0.11218
M,614,0.0077,11.3811,0.1122
M,615,0.0075,11.3878,0.11221
M,616,0.0073,11.3945,0.11223
M,617,0.0071,11.4011,0.11224
M,618,0.0069,11.4078,0.11226
M,619,0.0067,11.4144,0.11228
M,620,0.0066,11.4211,0.11229
M,621,0.0064,11.4277,0.11231
M,622,0.0062,11.4344,0.11233
M,623,0.006,11.441,0.11234
M,624,0.0058,11.4477,0.11236
M,625,0.0056,11.4543,0.11238
M,626,0.0054,11.461,0.11239
M,627,0.0052,11.4676,0.11241
M,628,0.005,11.4743,0.11243
M,629,0.0048,11.4809,0.11244
M,630,0.0046,11.4876,0.11246
M,631,0.0044,11.4942,0.11248
M,632,0.0043,11.5009,0.11249
M,633,0.0041,11.5075,0.11251
M,634,0.0039,11.5142,0.11253
M,635,0.0037,11.5208,0.11254
M,636,0.0035,11.5274,0.11256
M,637,0.0033,11.5341,0.11258
M,638,0.0031,11.5407,0.11259
M,639,0.0029,11.5474,0.11261
M,640,0.0027,11.554,0.11263
M,641,0.0025,11.5606,0.11265
M,642,0.0024,11.5673,0.11266
M,643,0.0022,11.5739,0.11268
M,644,0.002,11.5806,0.1127
M,645,0.0018,11.5872,0.11271
M,646,0.0016,11.5938,0.11273
M,647,0.0014,11.6005,0.11275
M,648,0.0012,11.6071,0.11276
M,649,0.001,11.6137,0.11278
M,650,0.0008,11.6204,0.1128
M,651,0.0007,11.627,0.11282
M,652,0.0005,11.6336,0.11283
M,653,0.0003,11.6403,0.11285
M,654,0.0001,11.6469,0.11287
M,655,-0.0001,11.6535,0.11289
M,656,-0.0003,11.6601,0.1129
M,657,-0.0005,11.6668,0.11292
M,658,-0.0006,11.6734,0.11294
M,659,-0.0008,11.68,0.11296
M,660,-0.001,11.6866,0.11297
M,661,-0.0012,11.6933,0.11299
M,662,-0.0014,11.6999,0.11301
M,663,-0.0016,11.7065,0.11303
M,664,-0.0018,11.7131,0.11304
M,665,-0.0019,11.7198,0.11306
M,666,-0.0021,11.7264,0.11308
M,667,-0.0023,11.733,0.1131
M,668,-0.0025,11.7396,0.11311
M,669,-0.0027,11.7462,0.11313
M,670,-0.0029,11.7528,0.11315
M,671,-0.003,11.7595,0.11317
M,672,-0.0032,11.7661,0.11318
M,673,-0.0034,11.7727,0.1132
M,674,-0.0036,11.7793,0.11322
M,675,-0.0038,11.7859,0.11324
M,676,-0.004,11.7925,0.11326
M,677,-0.0041,11.7991,0.11327
M,678,-0.0043,11.8057,0.11329
M,679,-0.0045,11.8124,0.11331
M,680,-0.0047,11.819,0.11333
M,681,-0.0049,11.8256,0.11335
M,682,-0.0051,11.8322,0.11336
M,683,-0.0052,11.8388,0.11338
M,684,-0.0054,11.8454,0.1134
M,685,-0.0056,11.852,0.11342
M,686,-0.0058,11.8586,0.11344
M,687,-0.006,11.8652,0.11345
M,688,-0.0061,11.8718,0.11347
M,689,-0.0063,11.8784,0.11349
M,690,-0.0065,11.885,0.11351
M,691,-0.0067,11.8916,0.11353
M,692,-0.0069,11.8982,0.11354
M,693,-0.007,11.9048,0.11356
M,694,-0.0072,11.9114,0.11358
M,695,-0.0074,11.918,0.1136
M,696,-0.0076,11.9246,0.11362
M,697,-0.0078,11.9312,0.11364
M,698,-0.0079,11.9378,0.11365
M,699,-0.0081,11.9444,0.11367
M,700,-0.0083,11.951,0.11369
M,701,-0.0085,11.9576,0.11371
M,702,-0.0087,11.9642,0.11373
M,703,-0.0088,11.9707,0.11375
M,704,-0.009,11.9773,0.11376
M,705,-0.0092,11.9839,0.11378
M,706,-0.0094,11.9905,0.1138
M,707,-0.0095,11.9971,0.11382
M,708,-0.0097,12.0037,0.11384
M,709,-0.0099,12.0103,0.11386
M,710,-0.0101,12.0168,0.11388
M,711,-0.0102,12.0234,0.11389
M,712,-0.0104,12.03,0.11391
M,713,-0.0106,12.0366,0.11393
M,714,-0.0108,12.0431,0.11395
M,715,-0.011,12.0497,0.11397
M,716,-0.0111,12.0563,0.11399
M,717,-0.0113,12.0629,0.11401
M,718,-0.0115,12.0694,0.11403
M,719,-0.0117,12.076,0.11404
M,720,-0.0118,12.0826,0.11406
M,721,-0.012,12.0891,0.11408
M,722,-0.0122,12.0957,0.1141
M,723,-0.0124,12.1023,0.11412
M,724,-0.0125,12.1088,0.11414
M,725,-0.0127,12.1154,0.11416
M,726,-0.0129,12.122,0.11418
M,727,-0.0131,12.1285,0.1142
M,728,-0.0132,12.1351,0.11421
M,729,-0.0134,12.1416,0.11423
M,730,-0.0136,12.1482,0.11425
M,731,-0.0137,12.1548,0.11427
M,732,-0.0139,12.1613,0.11429
M,733,-0.0141,12.1679,0.11431
M,734,-0.0143,12.1744,0.11433
M,735,-0.0144,12.181,0.11435
M,736,-0.0146,12.1875,0.11437
