sex,x,L,M,S
M,431,1,78.2275,0.03177
M,432,1,78.2638,0.03178
M,433,1,78.3001,0.03179
M,434,1,78.3364,0.0318
M,435,1,78.3727,0.0318
M,436,1,78.4089,0.03181
M,437,1,78.4451,0.03182
M,438,1,78.4812,0.03183
M,439,1,78.5173,0.03183
M,440,1,78.5534,0.03184
M,441,1,78.5894,0.03185
M,442,1,78.6254,0.03186
M,443,1,78.6614,0.03186
M,444,1,78.6973,0.03187
M,445,1,78.7332,0.03188
M,446,1,78.7691,0.03189
M,447,1,78.8049,0.03189
M,448,1,78.8407,0.0319
M,449,1,78.8764,0.03191
M,450,1,78.9122,0.03192
M,451,1,78.9479,0.03192
M,452,1,78.9835,0.03193
M,453,1,79.0191,0.03194
M,454,1,79.0547,0.03195
M,455,1,79.0903,0.03196
M,456,1,79.1258,0.03196
M,457,1,79.1613,0.03197
M,458,1,79.1968,0.03198
M,459,1,79.2322,0.03199
M,460,1,79.2676,0.032
M,461,1,79.303,0.032
M,462,1,79.3383,0.03201
M,463,1,79.3736,0.03202
M,464,1,79.4089,0.03203
M,465,1,79.4441,0.03204
M,466,1,79.4793,0.03204
M,467,1,79.5145,0.03205
M,468,1,79.5496,0.03206
M,469,1,79.5847,0.03207
M,470,1,79.6198,0.03208
M,471,1,79.6548,0.03209
M,472,1,79.6898,0.03209
M,473,1,79.7248,0.0321
M,474,1,79.7598,0.03211
M,475,1,79.7947,0.03212
M,476,1,79.8296,0.03213
M,477,1,79.8644,0.03214
M,478,1,79.8993,0.03214
M,479,1,79.9341,0.03215
M,480,1,79.9688,0.03216
M,481,1,80.0036,0.03217
M,482,1,80.0383,0.03218
M,483,1,80.0729,0.03219
M,484,1,80.1076,0.0322
M,485,1,80.1422,0.0322
M,486,1,80.1768,0.03221
M,487,1,80.2113,0.03222
M,488,1,80.2459,0.03223
M,489,1,80.2804,0.03224
M,490,1,80.3148,0.03225
M,491,1,80.3493,0.03226
M,492,1,80.3837,0.03226
M,493,1,80.4181,0.03227
M,494,1,80.4524,0.03228
M,495,1,80.4867,0.03229
M,496,1,80.521,0.0323
M,497,1,80.5553,0.03231
M,498,1,80.5895,0.03232
M,499,1,80.6237,0.03233
M,500,1,80.6578,0.03234
M,501,1,80.692,0.03234
M,502,1,80.7261,0.03235
M,503,1,80.7602,0.03236
M,504,1,80.7942,0.03237
M,505,1,80.8282,0.03238
M,506,1,80.8622,0.03239
M,507,1,80.8961,0.0324
M,508,1,80.9301,0.03241
M,509,1,80.964,0.03242
M,510,1,80.9978,0.03243
M,511,1,81.0317,0.03244
M,512,1,81.0655,0.03245
M,513,1,81.0992,0.03245
M,514,1,81.133,0.03246
M,515,1,81.1667,0.03247
M,516,1,81.2004,0.03248
M,517,1,81.234,0.03249
M,518,1,81.2677,0.0325
M,519,1,81.3013,0.03251
M,520,1,81.3348,0.03252
M,521,1,81.3684,0.03253
M,522,1,81.4019,0.03254
M,523,1,81.4353,0.03255
M,524,1,81.4688,0.03256
M,525,1,81.5022,0.03257
M,526,1,81.5356,0.03258
M,527,1,81.569,0.03259
M,528,1,81.6023,0.0326
M,529,1,81.6356,0.03261
M,530,1,81.6689,0.03261
M,531,1,81.7021,0.03262
M,532,1,81.7353,0.03263
M,533,1,81.7685,0.03264
M,534,1,81.8017,0.03265
M,535,1,81.8348,0.03266
M,536,1,81.8679,0.03267
M,537,1,81.9009,0.03268
M,538,1,81.934,0.03269
M,539,1,81.967,0.0327
M,540,1,82.0,0.03271
M,541,1,82.0329,0.03272
M,542,1,82.0659,0.03273
M,543,1,82.0987,0.03274
M,544,1,82.1316,0.03275
M,545,1,82.1644,0.03276
M,546,1,82.1973,0.03277
M,547,1,82.23,0.03278
M,548,1,82.2628,0.03279
M,549,1,82.2955,0.0328
M,550,1,82.3282,0.03281
M,551,1,82.3609,0.03282
M,552,1,82.3935,0.03283
M,553,1,82.4261,0.03284
M,554,1,82.4587,0.03285
M,555,1,82.4912,0.03286
M,556,1,82.5237,0.03287
M,557,1,82.5562,0.03288
M,558,1,82.5887,0.03289
M,559,1,82.6211,0.0329
M,560,1,82.6535,0.03291
M,561,1,82.6859,0.03292
M,562,1,82.7182,0.03293
M,563,1,82.7505,0.03294
M,564,1,82.7828,0.03295
M,565,1,82.8151,0.03296
M,566,1,82.8473,0.03297
M,567,1,82.8795,0.03298
M,568,1,82.9117,0.03299
M,569,1,82.9438,0.033
